iso3,fuacode,AGE_DEP_YEAR,OLD_DEP_RATE,OLD_SH,YOUTH_DEP_RATE,YOUTH_SH,WORKAGE_SH,POP_CH,BIRTH_RATE,DEATH_RATE,NETNAT_RATE,NETMIG_RATE,NETMOB_RATE,NETMOBMIG_RATE,SEX_RATIO_YEAR,SEX_RATIO_TOT,MIGRANT_SH_YEAR,MIGRANT_SH,LST_YEAR,LST_DAY_SUMMER,LST_NIGHT_SUMMER,CDD_T_22C,HDD_T_15C,CDD_T_22C_CH,HDD_T_15C_CH,RIVER_FLOOD_YEAR,RIVER_FLOOD_RP100_POP_SH,COASTAL_FLOOD_YEAR,COASTAL_FLOOD_RP100_POP_SH,GREEN_AREA_CAPITA,GREEN_AREA_SHARE,GREEN_AREAS_YEAR,FOREST_CH,OOKLA_YEAR,OOKLA_FIXED_DOWNLOAD_DEV,OOKLA_FIXED_UPLOAD_DEV,OOKLA_MOBILE_DOWNLOAD_DEV,OOKLA_MOBILE_UPLOAD_DEV,INC_YEAR,MEDIAN_DISP_INC,GINI_YEAR,GINI,POV_YEAR,POV_RATE_60,RENT_YEAR,RENT_M2,HOUSING_PRICE_YEAR,HOUSING_PRICE_M2,UNEMP_YEAR,UNEMP_RATE_15+
AUS,AUS01F,2021.0,23.600599804749866,15.119635721724185,51.31195945225905,18.099003953550937,66.78136032472489,,,,,,,,2021.0,101.35635456810182,2016.0,39.568870825297665,2022.0,32.544266591901014,17.30848636451501,130.01138124623168,326.31705570671073,39.38501627605098,-58.184194586609316,2015.0,0.6816548202526532,2015.0,0.042434706843004565,,54.886016544317194,2021.0,-15.954577264076628,2022.0,6.8862341379414245,9.753716864192395,14.40093527044939,0.540878091307611,,,,,,,,,,,,
AUS,AUS02F,2021.0,22.04135682622784,14.3895204014699,49.26977243652883,17.992725476185143,67.61775412234495,,,,,,,,2021.0,99.75256211978981,2016.0,38.544691951666955,2022.0,34.985429429724995,14.981572172652061,61.861203039334924,752.5847891621141,10.203138353328303,-42.10867191492719,2015.0,0.0,2015.0,0.04086981605696514,,51.57301124442512,2021.0,-14.703494599971826,2022.0,6.481605316168181,9.012226780785827,12.396987472871825,-1.207970572875628,,,,,,,,,,,,
AUS,AUS03F,2021.0,22.054296240204867,14.545463000105931,50.64556591095064,18.658045039630743,66.79649196026332,,,,,,,,2021.0,,2016.0,32.30795260023044,2022.0,33.11627165481257,18.549199513192626,302.53417713730596,48.664941954789676,60.02512677893674,-30.5996432761999,2015.0,13.833499292857073,2015.0,0.11196961047019723,,53.723935707352375,2021.0,-11.806703675693791,2022.0,6.07367650029223,2.2795548018032026,8.79499369957438,-6.061245277762727,,,,,,,,,,,,
AUS,AUS04F,2021.0,26.058149209353882,16.71190630768389,53.25508395111247,17.306861970883535,65.98123172143258,,,,,,,,2021.0,,2016.0,41.5184976746527,2022.0,38.728169385516075,20.087456810792307,283.82763927859014,178.84278987447888,26.013515642442766,-43.683891928048894,2015.0,2.3533093287155835,2015.0,0.031868367689293825,,45.473245595438804,2021.0,-32.67689222645256,2022.0,-15.392919442349822,-3.469559840561307,-15.409339786064054,-18.838671010842827,,,,,,,,,,,,
AUS,AUS05F,2021.0,32.35520262411476,18.914830862354787,58.90354916587512,16.96624439643439,64.11892474121082,,,,,,,,2021.0,,2016.0,31.860846002303298,2022.0,37.01385121331307,15.99827747836056,173.82866726930808,642.4507651221641,14.063968241175614,-31.42872884769797,2015.0,0.0,2015.0,0.008214732453666941,,45.5382901804535,2021.0,-11.076146553100342,2022.0,-13.25821419085305,-7.183364378030229,9.751834995978436,-0.8746705639498906,,,,,,,,,,,,
AUS,AUS06F,2021.0,28.616093594695084,18.085352889755008,55.811775015377954,17.46766678298134,64.44698032726366,,,,,,,,2021.0,95.70968144426912,2016.0,34.891150197008706,2022.0,30.6740008658877,18.365385009978887,194.2401299509796,24.465559962299622,37.76875927688439,-21.144234481168063,2015.0,0.0,2015.0,0.14768363883289187,3337.1026498792967,48.43580321639397,2021.0,-22.723869763503036,2022.0,-5.083172209666771,-0.31793435184317115,-9.282008240640453,-9.198771738558063,,,,,,,,,,,,
AUS,AUS07F,2021.0,24.177838397323516,14.633208595812352,51.8712448055503,17.889471256473108,67.47732014771454,,,,,,,,2021.0,,2016.0,33.80399306280856,2022.0,31.837327057814136,13.99710063524836,57.73478295643348,1451.53351892208,20.901253587632546,-58.499510494593316,2015.0,0.12863335926447325,2015.0,0.0,,63.481176971763624,2021.0,-3.9995261541717895,2022.0,-5.434937988039632,10.121646867775961,-4.685747893829462,-21.16484937610502,,,,,,,,,,,,
AUS,AUS08F,2021.0,32.62468188094613,19.546515016040164,62.009954476717965,18.138196815540397,62.315288168419436,,,,,,,,2021.0,97.22587151889135,2016.0,15.997290713699265,2022.0,29.96201885569537,17.76626864021129,143.0693597051126,149.92741277724426,36.47914251132187,-32.430654019319114,2015.0,3.3687943581995583,2015.0,0.08757274326729808,11029.323614910501,60.82221664863226,2021.0,-15.254553688549647,2022.0,-15.96212668318778,-8.142412618432882,-7.030357092706767,-16.263353083287342,,,,,,,,,,,,
AUS,AUS10F,2021.0,31.07485559342491,19.276070527505823,58.53809510325224,17.074148563137022,63.64978090935715,,,,,,,,2021.0,,2016.0,25.009739308656826,2022.0,29.128065621282232,16.294303142636984,59.51715224768127,263.89005944736414,20.66081218914288,-49.93980805017171,2015.0,0.0,2015.0,0.22033060420615871,29403.515097262018,65.0865720691339,2021.0,-2.803179882626807,2022.0,-8.26878981119424,-6.603220782213193,-33.31237765691877,-28.403513318295705,,,,,,,,,,,,
AUS,AUS11F,2021.0,35.87071907737545,21.57226550025974,63.90828570584551,17.181548333109056,61.2461861666312,,,,,,,,2021.0,93.52928605988204,2016.0,25.734235692226143,2022.0,30.45863492287854,18.915092776651704,287.78286796895406,24.29669806243322,55.43928350236869,-22.191689270567654,2015.0,0.0,2015.0,0.15695952339622807,1785.6359089218022,52.97305130450021,2021.0,-20.900244595106916,2022.0,-25.049280197521487,-2.2646831901619766,-34.35850446863219,-27.368019855188948,,,,,,,,,,,,
